                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1346,                 1.4327,                 1.2357,                0.69328,                0.23726,                0.27332,                0.19536,                 1.0842,                 2.2283,                0.75084,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1093,                  1.341,                 1.2371,                0.75705,                0.13329,                0.16098,                0.11002,                 1.0797,                 2.1661,                0.74777,             1.7143e-05,             1.7143e-05,             1.7143e-05
                      3,                 1.1936,                 1.3875,                 1.2347,                0.81137,                0.09703,                0.12303,                 0.0879,                 1.0722,                 2.1184,                  0.745,             2.5202e-05,             2.5202e-05,             2.5202e-05
                      4,                 1.1595,                 1.3028,                 1.2178,                0.78942,                0.08427,                0.09886,                0.06901,                 1.0632,                 2.0657,                0.74006,             3.2507e-05,             3.2507e-05,             3.2507e-05
                      5,                 1.1098,                  1.239,                 1.2066,                0.79257,                0.05352,                0.06668,                0.04572,                 1.0546,                 2.0129,                0.73615,             3.9059e-05,             3.9059e-05,             3.9059e-05
                      6,                 1.1248,                 1.2397,                 1.2075,                 0.7934,                0.06059,                0.07508,                0.05161,                 1.0431,                 1.9642,                0.73133,             4.4856e-05,             4.4856e-05,             4.4856e-05
                      7,                 1.0889,                 1.1778,                 1.1753,                0.79968,                0.06478,                0.07921,                0.05401,                 1.0364,                 1.9287,                0.72821,             4.9899e-05,             4.9899e-05,             4.9899e-05
                      8,                 1.1192,                 1.1718,                 1.1901,                0.80093,                 0.0616,                0.08005,                0.05606,                 1.0322,                 1.8945,                0.72604,             5.4188e-05,             5.4188e-05,             5.4188e-05
                      9,                 1.0908,                  1.183,                 1.1791,                0.83265,                0.05397,                0.07356,                0.05195,                 1.0176,                 1.8532,                0.71952,             5.7724e-05,             5.7724e-05,             5.7724e-05
                     10,                  1.104,                 1.1639,                 1.1813,                0.83552,                0.07572,                0.09829,                0.07212,                 1.0093,                 1.8053,                0.71601,             6.0505e-05,             6.0505e-05,             6.0505e-05
                     11,                 1.0869,                  1.141,                 1.1636,                0.85815,                0.06196,                0.08403,                 0.0607,                0.99859,                 1.7596,                0.71215,             6.2532e-05,             6.2532e-05,             6.2532e-05
                     12,                 1.0455,                 1.0438,                 1.1518,                0.77389,                0.03718,                0.04886,                 0.0325,                0.99164,                 1.7201,                0.70965,             6.3805e-05,             6.3805e-05,             6.3805e-05
                     13,                 1.0457,                 1.0386,                 1.1483,                0.75628,                0.03586,                0.05298,                0.03621,                0.98578,                 1.6903,                0.70833,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     14,                 1.0332,                 1.0517,                 1.1694,                0.79178,                0.04945,                0.06422,                0.04508,                0.97807,                 1.6611,                0.70469,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     15,                  1.044,                 1.0856,                  1.148,                0.59578,                0.03605,                0.04574,                0.02921,                0.97446,                 1.6346,                0.70279,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     16,                 1.0836,                 1.1206,                 1.1437,                0.57392,                0.03728,                0.04505,                0.02861,                0.97141,                 1.6188,                0.70025,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     17,                  1.073,                 1.0771,                 1.1206,                0.57816,                0.03853,                0.04509,                0.02933,                0.97051,                  1.609,                0.69994,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     18,                 1.0802,                 1.0408,                 1.1523,                0.55109,                0.03857,                0.04494,                 0.0301,                0.96396,                 1.5979,                0.69726,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     19,                  1.069,                 1.0246,                 1.1376,                0.54096,                 0.0429,                0.04889,                0.03366,                0.96283,                 1.5979,                0.69649,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     20,                 1.0576,                 1.0425,                 1.1107,                0.66405,                0.04215,                0.05021,                0.03389,                0.96227,                 1.5961,                0.69653,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     21,                 1.0667,                 1.0356,                 1.1406,                0.46495,                0.03078,                  0.039,                0.02373,                0.96027,                  1.592,                0.69646,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     22,                 1.0126,                0.98314,                 1.1334,                0.69883,                 0.0529,                0.06829,                 0.0452,                0.95468,                 1.5776,                0.69472,              2.004e-05,              2.004e-05,              2.004e-05
                     23,                 1.0081,                 0.9181,                 1.1003,                 0.5957,                0.04111,                0.05317,                0.03587,                0.95061,                 1.5674,                0.69345,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     24,                 1.0486,                 1.0211,                 1.1373,                0.62593,                0.03152,                0.03926,                0.02351,                0.94795,                  1.559,                 0.6922,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     25,                 1.0409,                0.92059,                 1.1069,                0.55122,                0.03646,                0.04418,                0.02779,                0.94687,                 1.5583,                0.69198,             5.9024e-06,             5.9024e-06,             5.9024e-06
